Адрес обращения,Дом,Дата,текст обращения,text_clean,categories,full_address,latitude,longitude
улица Социалистическая,19,2021-06-12 13:03:05.900,"Построить современную детскую площадку
Ремонт подъезда давно не делали, 1 подъезд",['площадка'],{'другое': 1},19 улица Социалистическая,56.11007999447645,47.17974998391222
улица Социалистическая,19,2021-06-12 13:09:44.639,"Построить современную детскую площадку
Течет крыша",['площадка'],{'другое': 1},19 улица Социалистическая,56.11007999447645,47.17974998391222
улица Социалистическая,19,2021-06-12 13:05:18.620,"Течет крыша на 9 этаже. кв.34 течет сильно на балконе.
Построить современную детскую площадку",['площадка'],{'другое': 1},19 улица Социалистическая,56.11007999447645,47.17974998391222
улица Кадыкова,18 корп. 1,2021-06-05 17:10:43.298,"Мешает шум от вытяжки в кафе, которое находится в доме.",['кафе'],{'другое': 1},18 корп. 1 улица Кадыкова,56.10280001820195,47.29108998891482
проспект Ленина,25,2021-06-07 18:57:50.316,"Благоустроить двор, площадку для детей.","['двор', 'площадка']",{'другое': 1},25 проспект Ленина,56.12488997919712,47.25275996478868
бульвар Гидростроителей,4,2021-06-14 17:36:02.725,Усовершенствовать детскую и спортивную площадку,['площадка'],{'другое': 1},4 бульвар Гидростроителей,56.123830003721565,47.48951000510226
улица Эльгера,17,2021-06-13 14:22:15.155,"Спортивные, детские площадки. Повысить заработную плату медикам!!",['площадка'],{'другое': 1},17 улица Эльгера,56.1469899984761,47.177559960250534
улица П.В.Дементьева,22,2021-06-09 11:22:26.546,дет.площадки,['площадка'],{'другое': 1},22 улица П.В.Дементьева,56.116410007754524,47.21982000731856
улица П.В.Дементьева,22,2021-06-09 11:21:16.998,дет.площадку ,['площадка'],{'другое': 1},22 улица П.В.Дементьева,56.116410007754524,47.21982000731856
улица Чернышевского,27,2021-06-08 09:32:41.671,"Не хватает банкоматов
Очень не хватает школы
Нет спортивной площадки
Нужен еще садик
Нет маршрута в сторону энергозапчасти",['площадка'],{'другое': 1},27 улица Чернышевского,56.1222399985987,47.17839999458678
улица Чернышевского,27,2021-06-14 17:44:16.826,"Нет школы
Нет банкоматов ВТб, Сбербанк
Нет козырька при выходе из подъезда на детских площадках грязь после зимы и дождя  (долгое время)",['площадка'],{'другое': 1},27 улица Чернышевского,56.1222399985987,47.17839999458678
улица Чернышевского,27,2021-06-07 22:18:18.453,"Просьба установить камеры на каждом подъезде, так как везде во дворах бегают дети, а машины во дворах летают","['двор', 'двор']",{'другое': 1},27 улица Чернышевского,56.1222399985987,47.17839999458678
улица Бичурина,8,2021-06-05 22:18:12.302,Обустроить площадку. Открыть магазины. Отремонтировать детский сад 131.,['площадка'],{'другое': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
улица Ахазова,3,2021-06-12 17:45:26.164,"Парковочные места, детская площадка ( улучшить). ",['площадка'],{'другое': 1},3 улица Ахазова,56.14546998224475,47.17166002242436
улица Ахазова,3,2021-06-08 21:46:25.244,Детская площадка. ,['площадка'],{'другое': 1},3 улица Ахазова,56.14546998224475,47.17166002242436
улица Комсомольская,12,2021-06-14 18:35:32.179,"Придомовая территория, детская площадка ",['площадка'],{'другое': 1},12 улица Комсомольская,56.11925000609796,47.488380040735194
улица Энтузиастов,15,2021-07-06 12:49:15.589,Благоустройте двор.,['двор'],{'другое': 1},15 улица Энтузиастов,56.124259995354464,47.19464999027301
улица Комсомольская,22,2021-06-14 13:22:56.381,"Детские площадки, дополнительные кружки",['площадка'],{'другое': 1},22 улица Комсомольская,56.1203199979478,47.48482996946424
проспект Мира,23,2021-06-09 07:53:58.679,блогоустроиство дворов,['двор'],{'другое': 1},23 проспект Мира,56.107380015825555,47.265689972446154
проспект Мира,23,2021-06-09 00:11:42.889,благоустроить двор ,['двор'],{'другое': 1},23 проспект Мира,56.107380015825555,47.265689972446154
