Адрес обращения,Дом,Дата,текст обращения,text_clean,categories,full_address,latitude,longitude
улица Чернышевского,27,2021-06-08 10:17:47.162,"парк, банкомат",['парк'],{'парк': 1},27 улица Чернышевского,56.1222399985987,47.17839999458678
улица Чернышевского,27,2021-06-08 10:13:45.791,"Нет школы в районе Финская долина, нет парка или аллеи","['парк', 'аллея']",{'парк': 1},27 улица Чернышевского,56.1222399985987,47.17839999458678
улица Чернышевского,27,2021-06-07 23:33:18.671,"нет школ, банкоматов,аптеки, парка, бассейна, церкви",['парк'],{'парк': 1},27 улица Чернышевского,56.1222399985987,47.17839999458678
улица Бичурина,8,2021-06-05 22:09:15.035,Построить парк.,['парк'],{'парк': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
улица Эльгера,16,2021-06-12 17:39:03.503,"Хорошо бы проложить асфальтовую дорожку в парке Гузовского, проложить парк, благоустроить аллею школьную. ","['дорожка', 'парк', 'аллея']",{'парк': 1},16 улица Эльгера,56.14385998628282,47.1806500326752
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:36:01.885,"построить школу, аллею",['аллея'],{'парк': 1},18 корп. 3 улица П.В.Дементьева,56.117569979334974,47.208959994469296
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:54:17.954,построить парк,['парк'],{'парк': 1},18 корп. 3 улица П.В.Дементьева,56.117569979334974,47.208959994469296
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:45:53.625,"построить школу, парк",['парк'],{'парк': 1},18 корп. 3 улица П.В.Дементьева,56.117569979334974,47.208959994469296
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:33:16.409,аллею,['аллея'],{'парк': 1},18 корп. 3 улица П.В.Дементьева,56.117569979334974,47.208959994469296
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:28:15.108,нужна школа и парк,['парк'],{'парк': 1},18 корп. 3 улица П.В.Дементьева,56.117569979334974,47.208959994469296
проспект Тракторостроителей,45,2021-06-10 03:43:42.730,"Пожелание постройки парка в районе ""Ленты""",['парк'],{'парк': 1},45 проспект Тракторостроителей,56.10300001041173,47.30747996238409
улица Эльгера,26,2021-06-12 17:28:55.321,"Благоустроить, облагородить аллею, дорожку. ","['аллея', 'дорожка']",{'парк': 1},26 улица Эльгера,56.1462300113152,47.18105001709472
улица Коммунистическая,22,2021-06-07 18:47:08.849,"Обустроить сквер на ул. Терешковой.
Починить крыльцо.",['сквер'],{'парк': 1},22 улица Коммунистическая,56.11644001496791,47.50123000121732
бульвар Эгерский,16 корп. 1,2021-06-06 21:36:10.633,Обновить аллею искусств,['аллея'],{'парк': 1},16 корп. 1 бульвар Эгерский,56.111990020662546,47.27070000361218
проспект Тракторостроителей,67,2021-06-10 01:28:16.140,Создание благоустроенного парка,['парк'],{'парк': 1},67 проспект Тракторостроителей,56.10732000139882,47.317949965278586
улица Воинов интернационалистов,11,2021-06-05 14:54:56.333,Оборудование парка - гулять около дома негде,['парк'],{'парк': 1},11 улица Воинов интернационалистов,56.117809995132404,47.4451399815479
улица Эльменя,34,2021-06-04 22:10:05.425,"школу, парк",['парк'],{'парк': 1},34 улица Эльменя,56.12342000292773,47.181519990405775
улица Лукина,3,2021-06-17 12:18:13.512,"Школа очень нужна
Аллею достроить
Мало мест в саду",['аллея'],{'парк': 1},3 улица Лукина,56.117699826474215,47.27949477104352
