Адрес обращения,Дом,Дата,текст обращения,text_clean,categories,full_address,latitude,longitude
бульвар Эгерский,25,2021-06-11 23:16:18.202,"Спилить тополя возле дома, поставить столбы для освещения",['освещение'],{'освещение': 1},25 бульвар Эгерский,56.103620019789616,47.2784700278558
улица Эльгера,16,2021-06-06 18:27:14.960,"Покрасить стены в подъезде, освещение в подъезде. ",['освещение'],{'освещение': 1},16 улица Эльгера,56.14385998628282,47.1806500326752
бульвар Гидростроителей,2,2021-06-14 14:16:28.789,"ЖЭК не реагирует-на 9 этаже нет света, уборка в подъезде, ремонт, крыша течет",['свет'],{'освещение': 1},2 бульвар Гидростроителей,56.12461999809585,47.490339981154705
улица Текстильщиков,12,2021-06-06 20:21:05.090,"Капитальный ремонт в подъезде
Нет света, душевые не работают, на кухне течет раковина, сантехника не работает.",['свет'],{'освещение': 1},12 улица Текстильщиков,56.143770006552245,47.27263999510214
проспект Мира,36,2021-06-06 16:14:41.307,"Ремонт в подъезде
Освещение улиц",['освещение'],{'освещение': 1},36 проспект Мира,56.122179984171964,47.27927997115967
проспект Мира,36,2021-06-06 19:01:01.747,"Ремонт в подъезде
Освещение улиц",['освещение'],{'освещение': 1},36 проспект Мира,56.122179984171964,47.27927997115967
бульвар Юности,19,2021-06-08 19:18:55.005,"Освещение за домом.Фасад дома, швы.",['освещение'],{'освещение': 1},19 бульвар Юности,56.13871001924329,47.158130038137614
бульвар Юности,19,2021-06-08 19:22:38.639,Ремонт фасада дома. Освещение возле дома,['освещение'],{'освещение': 1},19 бульвар Юности,56.13871001924329,47.158130038137614
улица Мичмана Павлова,66,2021-06-08 21:41:28.117,Установить освещение в Роще Гузовского. ,['освещение'],{'освещение': 1},66 улица Мичмана Павлова,56.13794999017284,47.16526002025478
улица Магницкого,2 корп. 1,2021-06-05 23:05:54.360,Освещение вокруг дома.,['освещение'],{'освещение': 1},2 корп. 1 улица Магницкого,56.08385000195534,47.27559000592473
проспект Тракторостроителей,35/19,2021-06-12 07:38:11.618,Уличное освещение,['освещение'],{'освещение': 1},35/19 проспект Тракторостроителей,56.10157001582047,47.30174003508955
проспект Тракторостроителей,35/19,2021-06-12 08:21:06.148,"Уличное освещение, сделать ступеньки и ремонт 1 подъезд",['освещение'],{'освещение': 1},35/19 проспект Тракторостроителей,56.10157001582047,47.30174003508955
улица Строителей,5 корп. 1,2021-06-05 23:05:49.511,"Плохое освещение вдоль ДМШ, спортивной школы, ДШИ, ЦРТДиЮ.",['освещение'],{'освещение': 1},5 корп. 1 улица Строителей,56.11239433416062,47.243683019287324
проспект Тракторостроителей,39,2021-06-12 04:57:16.233,"Плата за отопление выше чем в соседних домах, возле подъездов нет освещения, нет благ для инвалидов, урегулировать вопрос о соблюдении тишины в ночное время",['освещение'],{'освещение': 1},39 проспект Тракторостроителей,56.10229999576802,47.30408001099903
проспект Мира,6,2021-06-13 23:45:21.917,"1. Требуется личная встреча
2. Повышен коэффициент по квартплате
3. Сделать рейд по квартирантам
4. Убрать сотовую вышку с дома 6 по пр.Мира
5. Нужен домофон на железную дверь
6. Полиции нужно сделать рейд, обнаружены ""закладки""
7. Нужно сделать освещение на первом этаже ",['освещение'],{'освещение': 1},6 проспект Мира,56.13044998894,47.28701001372514
