Адрес обращения,Дом,Дата,текст обращения,text_clean,categories,full_address,latitude,longitude
улица П.В.Дементьева,22,2021-06-09 11:24:15.741,"школу, спорт и музыкальную школу, ",['спорт'],{'спортивная площадка': 1},22 улица П.В.Дементьева,56.116410007754524,47.21982000731856
проспект Мира,23Б,2021-06-09 09:33:38.808,бесплатный спорт,['спорт'],{'спортивная площадка': 1},23Б проспект Мира,56.107100018349996,47.26772996004098
улица Бичурина,8,2021-06-05 22:22:23.722,Восстановить футбольное поле по улице Магницкого.,['поле'],{'спортивная площадка': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
проспект Тракторостроителей,54,2021-06-06 16:36:58.110,Построить футбольное поле.,['поле'],{'спортивная площадка': 1},54 проспект Тракторостроителей,56.104050011422515,47.31622002428222
улица Ашмарина,34А,2021-06-05 21:36:32.039,"Построить футбольное поле, бассейн. Открыть секции .",['поле'],{'спортивная площадка': 1},34А улица Ашмарина,56.08124000303505,47.284280027860916
улица Короленко,22,2021-06-06 00:05:44.365,спортивные объекты для детей (футб.поле),['поле'],{'спортивная площадка': 1},22 улица Короленко,56.12653999874672,47.22375003026042
улица Чернышевского,34,2021-06-08 12:08:27.017,Построить спортплощадку,['спортплощадка'],{'спортивная площадка': 1},34 улица Чернышевского,56.12092001648662,47.175879975397095
улица Строителей,5 корп. 1,2021-06-05 22:52:55.912,Восстановить скейтпарк за спортивной школой,['скейтпарк'],{'спортивная площадка': 1},5 корп. 1 улица Строителей,56.11239433416062,47.243683019287324
проспект Мира,6,2021-06-07 17:51:12.626,Футбольное поле обустроить,['поле'],{'спортивная площадка': 1},6 проспект Мира,56.13044998894,47.28701001372514
проспект Мира,6,2021-06-07 17:52:30.666,Футбольное поле обустроить,['поле'],{'спортивная площадка': 1},6 проспект Мира,56.13044998894,47.28701001372514
улица Университетская,8,2021-06-12 22:15:06.564,"Ремонт на 1 этаже во 2 подъезде, отремонтировать тренажеры. ",['тренажёр'],{'спортивная площадка': 1},8 улица Университетская,56.14649001795169,47.16766001059099
улица Болгарстроя,1 корп. 1,2021-06-05 20:32:26.968,"Ремонт школы номер 63,пристроить спортзал к школе.",['спортзал'],{'спортивная площадка': 1},1 корп. 1 улица Болгарстроя,56.07272498533138,47.28220378586036
улица Винокурова,99,2021-06-05 16:56:54.919,Скейтпарк,['скейтпарк'],{'спортивная площадка': 1},99 улица Винокурова,56.113256563581366,47.457843227876985
улица Винокурова,99,2021-06-05 17:29:15.932,Скейтпарк,['скейтпарк'],{'спортивная площадка': 1},99 улица Винокурова,56.113256563581366,47.457843227876985
бульвар А.Миттова,14,2021-06-12 04:22:46.102,Спортплощадку оснастить современным оборудованием около СОШ 64,['спортплощадка'],{'спортивная площадка': 1},14 бульвар А.Миттова,56.14411000000007,47.24670000000003
улица Советская,36,2021-06-14 20:11:45.408,"По ул.Советская около тренажеров нужно организовать покрытие, чтобы можно было заниматься в любой сезон ",['тренажёр'],{'спортивная площадка': 1},36 улица Советская,56.14347587624685,47.244116014770114
улица Советская,45,2021-06-08 21:27:05.268,"Упростить прием в школу искусств, поставить спортивные тренажеры",['тренажёр'],{'спортивная площадка': 1},45 улица Советская,56.14347587624685,47.244116014770114
улица Академика В.Н.Челомея,1,2021-06-08 23:09:46.248,"футбольное поле на Челомея, школу",['поле'],{'спортивная площадка': 1},1 улица Академика В.Н.Челомея,56.11206000955406,47.208230014521746
проспект Тракторостроителей,81,2021-06-07 22:23:49.616,Добавить тренажеры,['тренажёр'],{'спортивная площадка': 1},81 проспект Тракторостроителей,56.10766001330114,47.3253200051027
проспект Тракторостроителей,81,2021-06-05 23:55:22.019,Добавить тренажеры,['тренажёр'],{'спортивная площадка': 1},81 проспект Тракторостроителей,56.10766001330114,47.3253200051027
проспект Тракторостроителей,81,2021-06-07 22:00:05.558,Закладки наркоманов. Добавить тренажеры.,['тренажёр'],{'спортивная площадка': 1},81 проспект Тракторостроителей,56.10766001330114,47.3253200051027
проспект Тракторостроителей,81,2021-06-05 22:50:17.013,Закладки наркотиков. Добавить тренажеры.,['тренажёр'],{'спортивная площадка': 1},81 проспект Тракторостроителей,56.10766001330114,47.3253200051027
проспект Тракторостроителей,81,2021-06-07 22:11:25.350,Обновить тренажеры,['тренажёр'],{'спортивная площадка': 1},81 проспект Тракторостроителей,56.10766001330114,47.3253200051027
проспект Тракторостроителей,81,2021-06-05 23:31:12.872,Обновить тренажеры ,['тренажёр'],{'спортивная площадка': 1},81 проспект Тракторостроителей,56.10766001330114,47.3253200051027
улица Короленко,16,2021-06-06 00:21:39.242,Футбольное поле,['поле'],{'спортивная площадка': 1},16 улица Короленко,56.12811001303052,47.225679963466575
улица П.В.Дементьева,15 корп. 1,2021-06-09 15:06:09.156,"школу
спорт комплекс",['спорт'],{'спортивная площадка': 1},15 корп. 1 улица П.В.Дементьева,56.11803002009077,47.20732996575876
улица Винокурова,13,2021-06-07 17:36:47.282,Установить тренажеры,['тренажёр'],{'спортивная площадка': 1},13 улица Винокурова,56.11851998424089,47.49406003742203
улица Винокурова,13,2021-06-07 18:18:50.091,Установить тренажеры,['тренажёр'],{'спортивная площадка': 1},13 улица Винокурова,56.11851998424089,47.49406003742203
улица Винокурова,13,2021-06-07 18:17:36.471,Установить тренажеры,['тренажёр'],{'спортивная площадка': 1},13 улица Винокурова,56.11851998424089,47.49406003742203
проезд Ельниковский,11,2021-06-08 08:59:53.577,Место для спорта и досуга подростков,['спорт'],{'спортивная площадка': 1},11 проезд Ельниковский,56.106790013661055,47.47060998690807
улица Баумана,12,2021-06-10 06:24:23.837,Пополнить тренажеры,['тренажёр'],{'спортивная площадка': 1},12 улица Баумана,56.10367999230684,47.308549996143455
улица Мате Залка,12 корп. 3,2021-06-07 12:16:04.285,Установите пожалуйста спортивные тренажеры для взрослых,['тренажёр'],{'спортивная площадка': 1},12 корп. 3 улица Мате Залка,56.11580001475093,47.18676002099494
бульвар А.Миттова,20,2021-06-12 04:10:54.828,Ремонт спорт комплекса СОШ 61 (тренер-преподаватель по волейболу),['спорт'],{'спортивная площадка': 1},20 бульвар А.Миттова,56.14411000000007,47.24670000000003
улица Семена Ислюкова,16,2021-06-04 13:16:50.372,Организовать футбольное поле в нашем районе.,['поле'],{'спортивная площадка': 1},16 улица Семена Ислюкова,56.150730003673004,47.17741000800274
улица Лебедева,3,2021-06-08 21:17:03.333,"Закопать яму около фитнес-клуба ""Цитрус""",['фитнес'],{'спортивная площадка': 1},3 улица Лебедева,56.14825000807096,47.165709960817225
проспект Мира,14,2021-06-04 21:39:41.583,Ремонт тренажеров в парке,['тренажёр'],{'спортивная площадка': 1},14 проспект Мира,56.12875998771227,47.28537998501463
улица Шумилова,18,2021-06-04 19:57:58.666,Облагородить территорию поля ,['поле'],{'спортивная площадка': 1},18 улица Шумилова,56.10244001546056,47.28468001228043
