Адрес обращения,Дом,Дата,текст обращения,text_clean,categories,full_address,latitude,longitude
улица 50 лет Октября,14,2021-06-07 19:36:33.032,Скамейки,['скамейка'],{'лавочка': 1},14 улица 50 лет Октября,56.128989987135384,47.276909988036806
улица Бичурина,8,2021-06-05 22:32:18.976,Поставить скамейки.Открыть баню.,['скамейка'],{'лавочка': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
улица Бичурина,8,2021-06-05 22:27:32.230,Возле дома поставить скамейки.,['скамейка'],{'лавочка': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
улица Бичурина,8,2021-06-05 22:29:48.045,Поставить скамейки. Открыть баню.,['скамейка'],{'лавочка': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
улица Бичурина,8,2021-06-05 22:23:34.046,Открыть баню.Поставить скамейки.,['скамейка'],{'лавочка': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
улица Бичурина,8,2021-06-05 22:19:19.300,Поставить скамейки возле подьездов.,['скамейка'],{'лавочка': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
улица Эльгера,16,2021-06-17 12:03:56.159,"Установить больше скамеек у центра Мои документы
Ремонт подъезда
установить видеокамеру в подъезде",['скамейка'],{'лавочка': 1},16 улица Эльгера,56.14385998628282,47.1806500326752
улица Эльгера,16,2021-06-15 15:59:26.801,"Ремонт скамеек около подъездов по ул. Эльгера 16
Закончить газонное ограждение с торца и сзади дома",['скамейка'],{'лавочка': 1},16 улица Эльгера,56.14385998628282,47.1806500326752
улица Терешковой,17,2021-06-12 08:57:52.115,Просим установить скамейки около дома,['скамейка'],{'лавочка': 1},17 улица Терешковой,56.11541000479619,47.49301003641122
улица Терешковой,17,2021-06-12 08:54:27.579,Просим убрать мясную лавку,['лавка'],{'лавочка': 1},17 улица Терешковой,56.11541000479619,47.49301003641122
бульвар Гидростроителей,2,2021-06-14 14:35:16.499,"Сделать велосипедные дорожки, запретить петарды возле жилых домов-бросили под ноги, поднять вопрос о воспитании детей-10-11 лет матерятся на лавочке","['дорожка', 'лавочка']",{'лавочка': 1},2 бульвар Гидростроителей,56.12461999809585,47.490339981154705
улица Ахазова,6,2021-06-12 16:26:11.843,Скамейка перед подъездом. ,['скамейка'],{'лавочка': 1},6 улица Ахазова,56.14403001318874,47.17541997655081
улица Советская,75,2021-06-05 12:24:00.789,"Поставить скамейку, урну",['скамейка'],{'лавочка': 1},75 улица Советская,56.14347587624685,47.244116014770114
улица Советская,75,2021-06-08 23:04:21.210,"Хотим чтобы поставили урну. скамейку и желательно у входа делали ремонт, подъездах тоже.",['скамейка'],{'лавочка': 1},75 улица Советская,56.14347587624685,47.244116014770114
улица Советская,75,2021-06-05 13:28:42.550,"Поставить урну, скамейку",['скамейка'],{'лавочка': 1},75 улица Советская,56.14347587624685,47.244116014770114
улица Чапаева,4,2021-06-08 21:45:43.804,"Установить тренажерный зал, расширить карман для машин установить скамейки.",['скамейка'],{'лавочка': 1},4 улица Чапаева,56.12995000841559,47.2567400276925
бульвар Речной,4 корп. 2,2021-06-12 21:20:26.445,скамейки навесом крытые пенсионерам посидеть негде,['скамейка'],{'лавочка': 1},4 корп. 2 бульвар Речной,56.124275320917256,47.50649953663181
улица Димитрова,18,2021-06-09 02:56:08.848,"Поставить скамейки возле подъезда. Сделать ремонт в подъезде. В 3 и 4 подъездах сделали, а в других нет.Отремонтировать почтовые ящики в подъезде",['скамейка'],{'лавочка': 1},18 улица Димитрова,56.10669001755616,47.179219996174425
проспект Ленина,52,2021-06-13 16:19:13.042,"в подьезде сделать ремонт. привести божественый вид

поставить скамейки ",['скамейка'],{'лавочка': 1},52 проспект Ленина,56.11368999635508,47.26058002899427
улица Красина,2,2021-06-05 23:41:08.449,Установить скамейки возле подъездов по адресу ул. Красина 2.,['скамейка'],{'лавочка': 1},2 улица Красина,56.148587024906064,47.22451413651495
улица Строителей,5 корп. 1,2021-06-05 23:08:44.317,"Нет скамеек вдоль ДМШ, спортивной школы, ДШИ",['скамейка'],{'лавочка': 1},5 корп. 1 улица Строителей,56.11239433416062,47.243683019287324
бульвар Зеленый,1а,2021-06-06 12:13:43.773,Сделать скамейку,['скамейка'],{'лавочка': 1},1а бульвар Зеленый,56.1102099977947,47.48842002241332
бульвар Зеленый,1а,2021-06-06 12:41:49.420,Сделать скамейки,['скамейка'],{'лавочка': 1},1а бульвар Зеленый,56.1102099977947,47.48842002241332
бульвар Зеленый,1а,2021-06-06 12:23:06.343,Поставить скамейки около 1 подъезда,['скамейка'],{'лавочка': 1},1а бульвар Зеленый,56.1102099977947,47.48842002241332
проспект Тракторостроителей,39,2021-06-10 03:54:34.907,"Поставить скамейки, урегулировать вопрос с отоплением",['скамейка'],{'лавочка': 1},39 проспект Тракторостроителей,56.10229999576802,47.30408001099903
бульвар Зеленый,4,2021-06-05 22:23:18.385,Отремонтировать или поставить скамейки для отдыха,['скамейка'],{'лавочка': 1},4 бульвар Зеленый,56.11295000000007,47.48249000000004
бульвар Зеленый,4,2021-06-05 22:31:34.498,"Летом негде посидеть, хорошо бы иметь скамейки",['скамейка'],{'лавочка': 1},4 бульвар Зеленый,56.11295000000007,47.48249000000004
бульвар Зеленый,3а корп. 1,2021-06-06 10:28:15.976,"Урны у подъезда, навесы над скамейками",['скамейка'],{'лавочка': 1},3а корп. 1 бульвар Зеленый,56.110909031800574,47.487189426092044
улица Т.Кривова,18,2021-06-03 21:44:23.528,"По ул. Кривова лавочки и забегаловки, где распивают спиртные напитки и раскидывают бутылки со стаканчиками, вокруг мусор.",['лавочка'],{'лавочка': 1},18 улица Т.Кривова,56.14411000000007,47.24670000000003
улица Комсомольская,17,2021-06-14 21:07:47.652,"Нет скамеек, яма около мусорки",['скамейка'],{'лавочка': 1},17 улица Комсомольская,56.11854001698947,47.486610034241636
улица Космонавта Николаева А.Г.,35,2021-06-05 10:59:56.560,Установка скамеек,['скамейка'],{'лавочка': 1},35 улица Космонавта Николаева А.Г.,56.124650005309206,47.276229964232186
улица Чернышевского,32,2021-06-08 10:01:54.281,Установить новые скамейки,['скамейка'],{'лавочка': 1},32 улица Чернышевского,56.12107001064396,47.175100039306614
улица Чернышевского,32,2021-06-08 09:51:14.678,Установить новые скамейки,['скамейка'],{'лавочка': 1},32 улица Чернышевского,56.12107001064396,47.175100039306614
улица Молодежная,5,2021-06-07 19:55:59.523,Убрать скамейки на летний период,['скамейка'],{'лавочка': 1},5 улица Молодежная,56.1348799924063,47.27667001414889
улица Винокурова,37,2021-06-05 21:28:44.919,Отремонтировать скамейки и поставить дополнительные,['скамейка'],{'лавочка': 1},37 улица Винокурова,56.1104599880569,47.48331996960721
проспект Тракторостроителей,81,2021-06-07 22:21:10.912,Обновить скамейки и урны,['скамейка'],{'лавочка': 1},81 проспект Тракторостроителей,56.10766001330114,47.3253200051027
проспект Тракторостроителей,81,2021-06-05 23:50:15.277,Обновить скамейки и урны,['скамейка'],{'лавочка': 1},81 проспект Тракторостроителей,56.10766001330114,47.3253200051027
проспект Мира,92,2021-06-09 11:59:45.955,Установить скамейки,['скамейка'],{'лавочка': 1},92 проспект Мира,56.1087199887767,47.26547003130682
бульвар Эгерский,41,2021-06-12 22:24:57.410,Установить скамейки около подъезда 11,['скамейка'],{'лавочка': 1},41 бульвар Эгерский,56.09435998652799,47.28376998905267
бульвар Эгерский,41,2021-06-12 22:24:54.364,Установить скамейки около подъезда 11,['скамейка'],{'лавочка': 1},41 бульвар Эгерский,56.09435998652799,47.28376998905267
бульвар Эгерский,41,2021-06-12 22:15:46.384,Установить скамейку возле подъезда,['скамейка'],{'лавочка': 1},41 бульвар Эгерский,56.09435998652799,47.28376998905267
улица Винокурова,84,2021-06-11 23:47:23.057,Добавить больше скамеек для отдыха. Усилить работу по созданию комфортной среды.,['скамейка'],{'лавочка': 1},84 улица Винокурова,56.117599986548356,47.44736001242296
улица Винокурова,84,2021-06-11 23:44:13.476,Поставить скамейку возле 1 подъезда. Заменить мусорный (старый) контейнер у дома.,['скамейка'],{'лавочка': 1},84 улица Винокурова,56.117599986548356,47.44736001242296
улица Хузангая,29,2021-06-11 14:25:25.061,Прошу установить новые скамейки.,['скамейка'],{'лавочка': 1},29 улица Хузангая,56.08985001970541,47.278180014005954
улица Хузангая,29,2021-06-11 14:36:17.629,Просим поставить новые скамейки возле подъездов нашего дома.,['скамейка'],{'лавочка': 1},29 улица Хузангая,56.08985001970541,47.278180014005954
улица Хузангая,29,2021-06-11 14:33:22.399,прошу установить скамейки около каждого подъезда нашего дома,['скамейка'],{'лавочка': 1},29 улица Хузангая,56.08985001970541,47.278180014005954
улица Хузангая,29,2021-06-11 14:31:35.487,Прошу установить новые скамейки у подъездов.,['скамейка'],{'лавочка': 1},29 улица Хузангая,56.08985001970541,47.278180014005954
