Адрес обращения,Дом,Дата,текст обращения,text_clean,categories,full_address,latitude,longitude
улица Ахазова,7,2021-06-08 21:43:59.782,"Спасти, облагородить лесопарк ""Роща"". ","['лесопарк', 'роща']",{'зелёные насаждения': 1},7 улица Ахазова,56.14538000251417,47.17416000886547
бульвар Эгерский,25,2021-06-11 23:13:14.032,после спила деревьев надо посадить новые,['дерево'],{'зелёные насаждения': 1},25 бульвар Эгерский,56.103620019789616,47.2784700278558
улица Чернышевского,27,2021-06-08 10:22:25.426,"Не хватает банкоматов или отделений Сбербанка,ВТБ
Не хватает школ, садиков, аптек
Невозможно доехать до СЗР без пересадки
Не хватает медобслуживания
На пустыре в конце ул.Чернышевского не благоустроена территория. Там можно руки и ноги переломать
Самое главное! С другой стороны района - низ ул.Эльменя - заброшенные сады, где летом живут бомжи и страшно за детей. Надо очистить эту территорию",['пустырь'],{'зелёные насаждения': 1},27 улица Чернышевского,56.1222399985987,47.17839999458678
улица Чернышевского,27,2021-06-07 23:15:33.473,"Открыть отделения банков
Кабинет общей врачебной практики
Озеленение
Школа",['озеленение'],{'зелёные насаждения': 1},27 улица Чернышевского,56.1222399985987,47.17839999458678
улица Бичурина,8,2021-06-05 22:28:34.946,Обустроить Обиковскую рощу.,['роща'],{'зелёные насаждения': 1},8 улица Бичурина,56.082689988465376,47.28153000924809
улица Комсомольская,22,2021-06-14 19:12:21.123,Посадить кустарники,['кустарник'],{'зелёные насаждения': 1},22 улица Комсомольская,56.1203199979478,47.48482996946424
улица Эльгера,16,2021-06-08 23:01:29.511,"Ремонт подъездов, удобрение, торф для газонов, ремонт межпланетных швов, замена инженерных коммуникаций, обновить мусоропровод",['газон'],{'зелёные насаждения': 1},16 улица Эльгера,56.14385998628282,47.1806500326752
улица Эльгера,16,2021-06-06 21:12:49.223,Благоустроить Рощу Гузовского. ,['роща'],{'зелёные насаждения': 1},16 улица Эльгера,56.14385998628282,47.1806500326752
улица Эльгера,16,2021-06-12 17:53:59.816,"Убрать большие деревья около дома.
Обрезать деревья. 
Сделать ремонт подъезда. ","['дерево', 'дерево']",{'зелёные насаждения': 1},16 улица Эльгера,56.14385998628282,47.1806500326752
улица Коммунистическая,24,2021-06-09 22:33:22.673,Отсутствует тамбурная дверь в подъезде (в 6 подъезде). Заграждение на клумбе. Обработка от клопов и тараканов. ,['клумба'],{'зелёные насаждения': 1},24 улица Коммунистическая,56.11536000674374,47.5003799924163
