Адрес обращения,Дом,Дата,текст обращения,text_clean,categories,full_address,latitude,longitude
улица Советская,50А,2021-06-05 21:24:48.114,Тротуара нет. Ближе остановку,['тротуар'],{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-12 12:25:27.035,Дороги плохие,['дорога'],{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 21:22:35.934,"Тротуар! К конной школе ходят дети, после дождя дорога затопленная.","['тротуар', 'дорога']",{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 21:20:29.171,"Дороги, выезд. Остановки нет.","['дорога', 'выезд']",{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 21:02:27.992,Нету дороги к остановке и парковочные места увеличить,['дорога'],{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 22:01:56.198,"Дороги сделаны неправильно, выезжать неудобно. Строили непрофессионалы! Окна плохие, балкон тоже. Магазина рядом нет!",['дорога'],{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 21:57:15.650,Тротуар до конно-спортивной школы,['тротуар'],{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 21:12:05.892,"Дорогу к остановке, тротуар. Магазина рядом нет. Вокруг дома посадить тую. Нужен гараж.","['дорога', 'тротуар']",{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 22:04:26.030,"Остановка, тротуар. Идти с детьми по дороге невозможно!","['тротуар', 'дорога']",{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 21:07:14.658,"Магазин, остановка, тротуара нет.",['тротуар'],{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 21:59:10.394,"Дорогу, остановку, парковочных мест хотелось бы больше",['дорога'],{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 21:33:38.914,"Дороги нет, пешеходной дороги","['дорога', 'дорога']",{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Советская,50А,2021-06-05 22:06:44.804,"Тротуар, магазина нет, остановки тоже",['тротуар'],{'асфальтовая дорожка': 1},50А улица Советская,56.14347587624685,47.244116014770114
улица Кукшумская,9,2021-06-11 20:56:03.802,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,['тротуар'],{'асфальтовая дорожка': 1},9 улица Кукшумская,56.08726001162421,47.274289972742224
улица Кукшумская,9,2021-06-11 21:00:13.376,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,['тротуар'],{'асфальтовая дорожка': 1},9 улица Кукшумская,56.08726001162421,47.274289972742224
улица Кукшумская,9,2021-06-11 20:52:56.704,"Прошу починить  тротуар от Кукшумской до остановки ""ботанический сад"".",['тротуар'],{'асфальтовая дорожка': 1},9 улица Кукшумская,56.08726001162421,47.274289972742224
